SM140,raw/Run_7_2018_12/SM140_1.fq.gz,raw/Run_7_2018_12/SM140_2.fq.gz
SM141,raw/Run_7_2018_12/SM141_1.fq.gz,raw/Run_7_2018_12/SM141_2.fq.gz
SM142,raw/Run_7_2018_12/SM142_1.fq.gz,raw/Run_7_2018_12/SM142_2.fq.gz
SM143,raw/Run_6_2018_7/SM143_R1.fq.gz,raw/Run_6_2018_7/SM143_R2.fq.gz
SM144,raw/Run_6_2018_7/SM144_R1.fq.gz,raw/Run_6_2018_7/SM144_R2.fq.gz
SM145,raw/Run_6_2018_7/SM145_R1.fq.gz,raw/Run_6_2018_7/SM145_R2.fq.gz
SM146,raw/Run_6_2018_7/SM146_R1.fq.gz,raw/Run_6_2018_7/SM146_R2.fq.gz
SM147,raw/Run_7_2018_12/SM147_1.fq.gz,raw/Run_7_2018_12/SM147_2.fq.gz
SM148,raw/Run_7_2018_12/SM148_1.fq.gz,raw/Run_7_2018_12/SM148_2.fq.gz
SM14c,raw/14c.raw.1.fq.gz,raw/14c.raw.2.fq.gz
SM16,raw/Run5_2017-06-22_FC633/SM-L_3-32_S32_R1_001.fastq.gz,raw/Run5_2017-06-22_FC633/SM-L_3-32_S32_R2_001.fastq.gz
SM16_b,raw/Run_7_2018_12/SM16_1.fq.gz,raw/Run_7_2018_12/SM16_2.fq.gz
SM17,raw/Run5_2017-06-22_FC633/SM-L_3-29_S29_R1_001.fastq.gz,raw/Run5_2017-06-22_FC633/SM-L_3-29_S29_R2_001.fastq.gz
SM17_b,raw/Run_6_2018_7/SM17_R1.fq.gz,raw/Run_6_2018_7/SM17_R2.fq.gz
SM18,raw/Run2_2016-10-26/flowcell548_lane1_pair1_ACTTGA.fastq.gz,raw/Run2_2016-10-26/flowcell548_lane1_pair2_ACTTGA.fastq.gz
SM19,raw/Run5_2017-06-22_FC633/SM-L_3-48_S48_R1_001.fastq.gz,raw/Run5_2017-06-22_FC633/SM-L_3-48_S48_R2_001.fastq.gz
SM19_b,raw/Run_7_2018_12/SM19_1.fq.gz,raw/Run_7_2018_12/SM19_2.fq.gz
SM2,raw/Run5_2017-06-22_FC633/SM-L_3-31_S31_R1_001.fastq.gz,raw/Run5_2017-06-22_FC633/SM-L_3-31_S31_R2_001.fastq.gz
SM2,raw/Run_7_2018_12/SM2_1.fq.gz,raw/Run_7_2018_12/SM2_2.fq.gz
SM20,raw/Run_7_2018_12/SM20_1.fq.gz,raw/Run_7_2018_12/SM20_2.fq.gz
SM22,raw/Run5_2017-06-22_FC633/SM-L_3-14_S14_R1_001.fastq.gz,raw/Run5_2017-06-22_FC633/SM-L_3-14_S14_R2_001.fastq.gz
SM22_b,raw/Run_6_2018_7/SM22_R1.fq.gz,raw/Run_6_2018_7/SM22_R2.fq.gz
SM24,raw/Run1_2016-07-26/flowcell493_lane1_pair1_ACAGTG.fastq.gz,raw/Run1_2016-07-26/flowcell493_lane1_pair2_ACAGTG.fastq.gz
SM25,raw/Run_7_2018_12/SM25_1.fq.gz,raw/Run_7_2018_12/SM25_2.fq.gz
SM27,raw/Run1_2016-07-26/flowcell493_lane1_pair1_GAGTGG.fastq.gz,raw/Run1_2016-07-26/flowcell493_lane1_pair2_GAGTGG.fastq.gz
SM28,raw/Run1_2016-07-26/flowcell493_lane1_pair1_GGCTAC.fastq.gz,raw/Run1_2016-07-26/flowcell493_lane1_pair2_GGCTAC.fastq.gz
SM28_b,raw/Run_6_2018_7/SM28_R1.fq.gz,raw/Run_6_2018_7/SM28_R2.fq.gz
SM29,raw/Run2_2016-10-26/flowcell548_lane1_pair1_TAGCTT.fastq.gz,raw/Run2_2016-10-26/flowcell548_lane1_pair2_TAGCTT.fastq.gz
SM35,raw/Run5_2017-06-22_FC633/SM-L_3-25_S25_R1_001.fastq.gz,raw/Run5_2017-06-22_FC633/SM-L_3-25_S25_R2_001.fastq.gz
SM36,raw/Run5_2017-06-22_FC633/SM-L_3-6_S6_R1_001.fastq.gz,raw/Run5_2017-06-22_FC633/SM-L_3-6_S6_R2_001.fastq.gz
SM38,raw/Run_7_2018_12/SM38_1.fq.gz,raw/Run_7_2018_12/SM38_2.fq.gz
SM4,raw/Run_6_2018_7/SM4_R1.fq.gz,raw/Run_6_2018_7/SM4_R2.fq.gz
SM40,raw/Run_6_2018_7/SM40_R1.fq.gz,raw/Run_6_2018_7/SM40_R2.fq.gz
