No.,NRRL # or orig ident,Location,Region,GPS,Host/Substrate,Fungicide,Date Collected,Notes,Mating Type,Date of ITS confirmation,Date of DNA Extraction,Sterile Water Tube Date,Glycerol Tubes Date,Race Tubes Date
SM070,,Jamie Mendez,NorCal,"36.892636,-121.741109",201 Sur,,7/28/2016,,,,,9/16/2016,,
SM071,,Skakihara,NorCal,"36.861135,-121768080",Cabrillo,,7/28/2016,,,,,9/16/2016,,
SM072,,Aldo Gonzales,NorCal,"36.646695,-121.578872",Monterrey,,7/28/2016,,plus,,,9/16/2016,,
SM073,,Eclipse (Rebecca) ,NorCal,"36.743330,-121.736454",Monterrey,,7/28/2016,,,,,9/16/2016,,
SM074,,Aldo Gonzales,NorCal,"36.646695,-121.578872",Albion,,7/28/2016,,plus,,,9/16/2016,,
SM075,,Ramirez hr Berry Farms ,NorCal,"36.7423,-121.686912",Monterrey,,7/28/2016,,,,,9/16/2016,,
SM076,,Felix Cisneroz,NorCal,"36.609264,-121.536049",Monterrey,,7/28/2016,,plus,,,9/16/2016,,
SM077,,Fransico Rocha,NorCal,"36.842913,-121.743354",Monterrey,,7/28/2016,,plus,,,9/16/2016,,
SM078,,Jamie Mendez,NorCal,"36.892636,-121.741109",Big Sur,,7/28/2016,,UNKNOWN,,,9/16/2016,,
SM079,,Jose Rocha,NorCal,"36.688662,-121.581620",Monterrey,,7/28/2016,,,,,9/16/2016,,
SM080,,Fransico Ortiz A & B ,NorCal,"36.727454,-121.6834",Camarillo,,7/28/2016,,,,,9/16/2016,,
SM081,,Jason's Kitchen/Trader Joes,SoCal,"33.966848, -117.384794",Sweet Potato,,7/28/2016,,plus,,,9/16/2016,,
SM082,,"Penvir, CA",NorCal,"36.54327,-121.50216",Fronteras,,6/15/2016,,,,,9/16/2016,,
SM083,,"Penvir, CA",NorCal,"36.54327,-121.50216",16MBA,,6/15/2016,,,,,9/16/2016,,
SM084,,"Penvir, CA",NorCal,"36.54327,-121.50216",Radiance',,6/15/2016,,UNKNOWN,,,9/16/2016,,
SM085,,"Penvir, CA",NorCal,"36.54327,-121.50216",Ventura,,6/15/2016,,,,,9/16/2016,,
SM086,,"Penvir, CA",NorCal,"36.54327,-121.50216",Merced,,6/15/2016,,,,,9/16/2016,,
SM087,,"Penvir, CA",NorCal,"36.54327,-121.50216",Monterrey,,6/15/2016,,plus,,,9/16/2016,,
SM088,,"Penvir, CA",NorCal,"36.54327,-121.50216",Sweet Ann,,6/15/2016,,,,,9/16/2016,,
SM089,,"Penvir, CA",NorCal,"36.54327,-121.50216",Portolla,,6/15/2016,missing,,,,9/16/2016,,
SM090,,"Penvir, CA",NorCal,"36.54327,-121.50216",16MBA 30,,6/15/2016,missing,,,,9/16/2016,,
SM091,,"Penvir, CA",NorCal,"36.54327,-121.50216",Cabriilo,,6/15/2016,,UNKNOWN,,,9/16/2016,,
SM092,,"Penvir, CA",NorCal,"36.54327,-121.50216",San Andreas,,6/15/2016,,plus,,,9/16/2016,,
SM093,,"Penvir, CA",NorCal,"36.54327,-121.50216",Grenada,,6/15/2016,,,,,9/16/2016,,
SM094,,"Penvir, CA",NorCal,"36.54327,-121.50216",PentaLuma,,6/15/2016,missing,,,,9/16/2016,,
SM095,,"Penvir, CA",NorCal,"36.54327,-121.50216",35,,6/15/2016,,,,,9/16/2016,,
SM096,,Joshua Tree Dung 1,SoCal,"34.017281, -116.161621",Dung,,8/3/2016,,,,,,,
SM097,,Joshua Tree Dung 2,SoCal,"34.017281, -116.161622",Dung,,8/3/2016,,plus,,,,,
SM098,,Joshua Tree Flower,SoCal,"34.017281, -116.161623",Cactus Flower,,8/3/2016,,,,,,,
SM099,,Jason's Front Yard Tomato,SoCal,"33.966848, -117.384794",Tomato,None,8/15/2016,,plus,,,,,
SM100,,Maryland,Maryland,"39.300213, -76.610516",,,,,,,,,,
SM101,,"Jason, Pineapple",SoCal,,Pineapple,,,,plus,,,,,
SM102,,"Sawyer Orange, Riverside, CA",SoCal,,Orange,,,,UNKNOWN,,,,,
SM103,,"Dung, Riverside, CA",SoCal,,Dung,,,,,,,,,
SM104,L548,Monterrey,NorCal,,Strawberry,,6/2016,,UNKNOWN,,,,,
SM105,4897,"Hwy 20,Colusa, CA",NorCal,,Almond Hull Rot,,8/2013,,plus,,,,,
SM106,4898,"Battig Orchard, CA",NorCal,,Almond Hull Rot,,8/2014,,UNKNOWN,,,,,
SM107,4900,"Modesto, CA",NorCal,,Almond Hull Rot,,8/2014,,,,,,,
SM108,5036,"Modesto, CA",NorCal,,Almond Hull Rot,,8/2014,,UNKNOWN,,,,,
SM109,5041,"Modesto, CA",NorCal,,Almond Hull Rot,,8/2014,,UNKNOWN,,,,,
SM110,5046,"Modesto, CA",NorCal,,Almond Hull Rot,,8/2014,,plus,,,,,
SM111,5047,"Bakersfield, CA",SoCal,,Almond Hull Rot,,8/2014,,plus,,,,,
SM112,5052,"Bakersfield, CA",SoCal,,Almond Hull Rot,,8/2014,,UNKNOWN,,,,,
SM113,5057,Vann Bros plot,NorCal,,Almond Hull Rot,,8/2014,,plus,,,,,
